year,Permanent water,Seasonal water,no_data,not_water
2000,13.928,430.840,283.728,379.179
2001,16.384,435.731,210.038,445.521
2002,12.182,328.645,96.355,670.493
2003,12.122,102.811,91.629,901.111
2004,10.662,262.654,20.113,814.244
2005,11.382,356.462,54.988,684.842
2006,12.277,320.932,16.271,758.194
2007,13.578,575.976,101.515,416.605
2008,14.335,130.705,217.169,745.466
2009,18.129,267.290,101.833,720.422
2010,16.012,303.142,72.149,716.370
2011,18.017,472.968,94.002,522.687
2012,17.334,521.821,62.021,506.498
2013,16.461,553.443,43.002,494.769
2014,16.782,266.082,21.034,803.775
2015,6.184,233.385,0.984,930.022
2016,10.899,361.582,8.115,789.981
2017,16.312,496.761,14.285,643.218
2018,16.815,657.454,3.666,492.641
2019,7.570,657.926,7.914,519.928
2020,19.024,722.462,8.699,569.766
2021,20.683,1172.204,12.015,242.764
