year,Permanent water,Seasonal water,no_data,not_water
2000,7.828,705.204,297.075,431.513
2001,7.648,612.094,240.166,581.712
2002,6.346,588.429,50.126,796.719
2003,4.527,367.733,92.251,977.109
2004,3.077,476.223,29.433,932.887
2005,2.117,585.762,71.673,782.067
2006,3.740,612.724,10.219,814.936
2007,6.582,519.353,94.047,821.638
2008,6.738,225.591,477.746,731.546
2009,4.512,489.027,81.095,866.986
2010,3.016,345.344,85.992,1007.268
2011,4.894,877.987,83.542,475.197
2012,6.636,494.521,60.638,879.824
2013,1.713,686.061,161.016,592.831
2014,3.379,378.489,50.365,1009.387
2015,1.604,191.335,1.567,1278.686
2016,4.327,477.580,18.465,972.820
2017,10.614,556.825,24.157,881.596
2018,11.578,909.688,2.940,548.987
2019,6.404,606.819,7.618,882.516
2020,7.681,573.408,1.957,992.517
2021,12.835,738.249,25.133,843.482
