year,Permanent water,Seasonal water,no_data,not_water
2000,85.196,1844.525,271.688,737.853
2001,86.526,1979.170,134.496,739.070
2002,85.429,2246.672,37.907,569.254
2003,80.801,1094.992,86.444,1677.025
2004,69.224,1727.460,4.667,1137.912
2005,57.673,1846.007,16.200,1019.382
2006,76.467,2092.140,1.398,769.257
2007,90.169,1681.174,159.057,1008.863
2008,93.782,1742.521,10.820,1092.139
2009,91.933,2369.043,0.782,477.504
2010,76.897,1110.276,457.822,1294.267
2011,91.711,2430.706,45.616,371.228
2012,93.795,1102.522,977.036,765.909
2013,72.809,2301.403,1.585,563.465
2014,86.943,1554.362,17.158,1280.799
2015,55.593,849.811,0.229,2063.178
2016,49.219,1092.209,28.287,1799.096
2017,84.853,1769.987,43.355,1070.617
2018,84.498,2063.458,2.092,818.764
2019,59.787,1397.887,1.928,1520.716
2020,41.870,1093.423,91.741,1783.840
2021,53.861,1702.996,25.262,1287.025
