year,Permanent water,Seasonal water,no_data,not_water
2000,12.141,193.251,24.881,57.584
2001,10.883,203.039,17.913,56.022
2002,10.192,147.453,23.509,106.703
2003,10.220,66.456,51.481,159.700
2004,8.534,152.484,6.082,120.757
2005,9.017,161.070,9.172,108.599
2006,10.689,122.919,1.020,153.229
2007,9.851,81.825,89.160,107.021
2008,9.873,77.220,34.076,166.687
2009,10.684,100.554,1.445,175.174
2010,11.803,74.444,5.457,196.152
2011,15.368,175.336,13.532,83.620
2012,20.596,56.365,30.683,180.212
2013,18.649,116.080,1.494,151.633
2014,18.793,67.446,1.113,200.504
2015,20.540,98.552,0.279,172.545
2016,23.360,101.461,25.826,141.268
2017,22.827,67.545,9.778,191.767
2018,23.185,138.446,0.307,129.978
2019,21.168,97.712,1.703,172.731
2020,21.396,72.652,2.040,200.233
2021,22.564,99.736,1.755,174.733
