year,Permanent water,Seasonal water,no_data,not_water
2000,12.928,408.983,63.544,80.958
2001,4.025,267.807,42.851,251.730
2002,1.980,414.013,6.217,144.203
2003,3.058,153.623,50.899,358.833
2004,1.863,319.071,14.239,231.240
2005,1.464,305.642,45.833,213.474
2006,3.084,208.850,26.078,328.400
2007,11.750,121.443,75.864,357.357
2008,14.124,188.769,68.435,295.085
2009,13.743,218.490,11.965,322.214
2010,13.055,70.341,209.491,273.526
2011,14.394,378.550,32.059,141.409
2012,14.774,119.666,120.790,311.183
2013,13.954,294.184,26.511,231.764
2014,14.430,174.562,5.273,372.148
2015,12.450,167.573,0.142,397.033
2016,13.264,233.931,28.947,301.056
2017,15.323,257.407,5.976,298.491
2018,14.426,239.408,8.955,314.408
2019,13.707,162.452,0.549,402.641
2020,13.475,164.262,36.478,369.344
2021,15.513,197.104,10.207,365.515
