year,Permanent water,Seasonal water,no_data,not_water
2000,3682.882,14587.099,1954.713,3830.603
2001,3670.455,13876.150,1813.587,4695.104
2002,3606.750,15215.118,579.649,4653.779
2003,3622.827,8750.977,1631.475,10050.017
2004,3499.519,13639.019,225.421,6691.337
2005,3365.431,14831.454,476.301,5382.111
2006,3608.737,14163.317,175.176,6108.066
2007,3628.209,10640.846,2718.784,7067.457
2008,3663.148,10321.601,2019.911,8050.637
2009,3678.977,13207.013,364.523,6804.784
2010,3539.138,8396.818,1876.685,10242.655
2011,3666.647,15688.741,679.239,4020.669
2012,3700.542,7463.344,4087.452,8803.959
2013,3448.596,15035.475,355.166,5216.059
2014,3666.786,11683.166,242.041,8463.303
2015,3633.895,7007.663,10.611,13908.421
2016,3578.607,8964.216,270.532,11747.235
2017,3881.659,11587.348,268.881,8822.702
2018,3814.406,15461.352,53.539,5231.293
2019,3705.996,12160.166,83.321,8806.293
2020,3683.279,9025.190,254.043,12138.954
2021,3838.710,11084.002,395.963,10159.383
