year,Permanent water,Seasonal water,no_data,not_water
2000,84.540,2380.395,50.440,148.353
2001,84.253,2088.085,247.322,244.066
2002,77.510,2382.139,23.341,180.737
2003,80.733,1193.620,437.724,951.649
2004,66.910,2086.648,37.311,472.857
2005,67.860,2168.491,53.319,374.057
2006,83.728,1805.472,30.124,744.403
2007,81.285,1169.123,664.383,748.937
2008,79.983,1463.998,292.611,827.135
2009,83.451,1696.017,16.959,867.301
2010,75.184,1058.253,216.684,1313.605
2011,80.433,2090.709,51.043,441.543
2012,80.165,819.153,873.139,891.271
2013,73.602,1828.394,9.261,752.470
2014,79.613,1795.118,5.156,783.841
2015,53.000,801.679,0.217,1810.369
2016,63.080,939.121,24.939,1638.125
2017,85.945,1267.567,14.270,1297.482
2018,76.259,1919.295,12.053,657.657
2019,56.899,1532.362,14.517,1062.050
2020,61.767,889.761,15.251,1701.008
2021,69.419,899.934,76.577,1623.124
