year,Permanent water,Seasonal water,no_data,not_water
2000,96.043,1000.025,134.626,284.975
2001,96.587,1056.493,15.487,347.103
2002,96.143,1174.916,9.115,235.496
2003,94.340,744.513,15.162,661.655
2004,89.262,1088.877,1.986,335.545
2005,82.278,1177.683,9.086,246.623
2006,94.426,1174.647,0.276,246.320
2007,93.289,947.475,101.721,373.185
2008,91.493,933.641,4.573,485.963
2009,90.949,1133.551,0.541,290.628
2010,87.518,786.021,102.014,540.117
2011,93.439,1268.418,2.499,151.314
2012,96.805,548.644,348.760,521.460
2013,89.623,1229.530,0.554,195.963
2014,93.823,1006.926,3.630,411.291
2015,80.352,639.744,0.100,811.927
2016,80.058,776.630,6.334,669.101
2017,91.049,1013.892,11.522,415.660
2018,87.428,1307.616,0.353,136.726
2019,86.997,1064.182,0.839,389.827
2020,66.105,838.058,16.737,632.647
2021,77.656,1017.531,35.035,450.258
