year,Permanent water,Seasonal water,no_data,not_water
2000,0.003,0.021,0.274,0.208
2001,0.006,0.025,0.138,0.336
2002,0.003,0.029,0.078,0.395
2003,0.007,0.039,0.059,0.399
2004,0.003,0.044,0.037,0.421
2005,0.009,0.047,0.039,0.410
2006,0.010,0.055,0.061,0.379
2007,0.003,0.058,0.011,0.432
2008,0.002,0.049,0.048,0.406
2009,0.004,0.051,0.035,0.414
2010,0.006,0.051,0.011,0.436
2011,0.009,0.048,0.031,0.418
2012,0.007,0.032,0.057,0.409
2013,0.005,0.032,0.061,0.406
2014,0.015,0.072,0.001,0.417
2015,0.006,0.120,0.013,0.474
2016,0.016,0.144,0.014,0.440
2017,0.010,0.171,0.010,0.423
2018,0.008,0.173,0.002,0.432
2019,0.013,0.203,0.000,0.439
2020,0.009,0.233,0.001,0.467
2021,0.023,0.300,0.014,0.462
