year,Permanent water,Seasonal water,no_data,not_water
2000,12.650,1287.751,65.284,129.814
2001,13.647,1218.829,116.114,146.909
2002,12.634,1129.385,82.848,270.632
2003,12.217,873.637,154.750,454.895
2004,9.329,1288.851,12.396,184.923
2005,6.932,1174.307,51.426,262.834
2006,13.649,1117.521,2.114,362.215
2007,11.564,874.552,320.533,288.850
2008,13.738,978.824,145.591,357.347
2009,13.248,1079.326,4.146,398.780
2010,11.458,823.289,30.599,630.153
2011,11.639,1159.449,54.238,270.174
2012,10.634,631.295,328.942,524.628
2013,7.146,1172.376,1.987,313.990
2014,7.227,940.070,1.740,546.462
2015,2.989,753.962,1.023,740.916
2016,5.997,880.704,54.626,557.564
2017,9.594,914.811,24.535,549.950
2018,8.663,1177.751,1.796,310.680
2019,8.243,1000.269,15.790,475.209
2020,3.851,813.574,5.853,678.603
2021,5.432,881.288,25.347,591.273
